raw_var,description
LH9,Type of residence when age 10
LIVEGPAR,Lived with grandparents for more than a year before age 17
LIVING_AT10,People lived with when age 10
LIVING_AT20,People lived with when age 20
LIVING_AT40,People lived with when age 40
LONELINESS,Perceived Loneliness
LONGEST_JOB_DURATION,Years working in longest job
LONGEST_JOB_INDUSTRY,Longest Job Industry
LONGEST_JOB_OCCUPATION,Longest Job Occupation
LOST_JOB_5Y_AGG,Lost a job in the last 5 years
LONGEST_MARRIAGE_YRS_RAND,Length of the longest marriage (years)
MARITAL_STATUS_RAND,Marital Status
MARITAL_STATUS_MARRIED,Currently Married
MOEDUC,Highest Degree of Education of Mother
MOTHER_AGE_RAND,Mother's Current Age / Age at Death
MOVED_5Y_AGG,Moved to a worse neighborhood in the last 5 years
MOVFIN,Moved for financial reasons before age 16
MOWORK,Portion of time mother worked before age 16
MPOA,DunedinMPOA
NEIGHBORHOOD_COHESION,Perceived Neighborhood Cohesion
NEIGHBORHOOD_DISORDER,Perceived Neighborhood Disorder
NETWORK_COMPOSITION,Composition Of Social Network
NEVER_MARRIED,Never got Married
NUM_CIGS_PER_DAY,Number of Cigarettes Smoked per Day
NUM_SCHOOLS,Number of Schools Attended
NUM_UNEMPLOYMENT,Number of waves unemployed
NUM_UNI,Number of Universities attended
NUMBER_DIVORCES,Number of Divorces
NUMBER_DRINKS,Number of Drinks per Week
NUMBER_LIVING_SIBLINGS,Number of Living Siblings
NUMBER_MARRIAGES,Number of Marriages
NUMBER_WIDOWED,Number of Widowed
SPOKE_ENGLISH_HOME,Spoke English at Home before age 16
PARSMOKE,Parents smoked during their childhood
PC1_5A,Principal Component 1
PC1_5B,Principal Component 2
PC1_5C,Principal Component 3
PC1_5D,Principal Component 4
PC1_5E,Principal Component 5
PC6_10A,Principal Component 6
PC6_10B,Principal Component 7
PC6_10C,Principal Component 8
PC6_10D,Principal Component 9
PC6_10E,Principal Component 10
PGI_AB_BROAD17,PGI Antisocial Behavior
PGI_ADHD_PGC17,PGI Attention Deficit Hyperactivity Disorder (PGC17)
PGI_AFBC_SOCGEN16,PGI Age at first birth (SOCGEN16)
PGI_AI_GSCAN19,PGI Age Smoke Initiation (GSCAN19)
PGI_ALC_PGC18,PGI Alcohol Dependence (PGC18)
PGI_ANXFS_ANGST16,PGI Anxiety (ANGST16)
PGI_AUTISM_PGC17,PGI Autism (PGC17)
PGI_BIP_PGC11,PGI Bipolar Disorder (PGC11)
PGI_BMI2_GIANT18,PGI Body Mass Index 2 (GIANT18)
PGI_BUNTE_CKDGEN19,PGI Blood Urine Nitrogen trans-ethnic (CKDGEN19)
PGI_BUN_CKDGEN19,PGI Blood Urine Nitrogen (CKDGEN19)
PGI_CAD_CARDIOGRAM11,PGI Coronary Artery Disease (CARDIOGRAM11)
PGI_CANNABIS_ICC18,PGI Lifetime Cannabis Use (ICC18)
PGI_CKDTE_CKDGEN19,PGI Chronic Kidney Disease trans-ethnic (CKDGEN19)
PGI_CKD_CKDGEN19,PGI Chronic Kidney Disease (CKDGEN19)
PGI_CORTISOL_CORNET14,PGI Cortisol levels (CORNET14)
PGI_CRP_CHARGE22,PGI C-Reactive Protein (CHARGE22)
PGI_DEPSYMP_SSGAC16,PGI Depressive Symptoms (SSGAC16)
PGI_DPW_GSCAN19,PGI Drinks per Week (GSCAN19)
PGI_EDU3_W23_SSGAC18,PGI Educational Attainment 3 (W23 SSGAC18)
PGI_EGFRTE_CKDGEN19,PGI estimated glomerular filtration trans-ethnic (CKDGEN19)
PGI_EGFR_CKDGEN19,PGI estimated glomerular filtration (CKDGEN19)
PGI_EXTRAVERSION_GPC16,PGI Extraversion (GPC16)
PGI_GENCOG2_CHARGE18,PGI General Cognition 2 (CHARGE18)
PGI_GWALZNA_PGC21,PGI Alzheimer's disease (PGC21)
PGI_HBA1CEA_MAGIC17,PGI Glycated hemoglobin A1c (MAGIC17)
PGI_HDL_GLGC13,PGI High-Density Lipoprotein (GLGC13)
PGI_HTN_COGNET17,PGI Blood Pressure (COGNET17)
PGI_LDL_GLGC13,PGI Low-Density Lipoprotein (GLGC13)
PGI_MENARCHE_REPROGEN17,PGI Age at Menarche (REPROGEN17)
PGI_MENOPAUSEREPROGEN21,PGI Age at Menopause (REPROGEN21)
PGI_MI_CARDIOGRAM15,PGI Myocardial Infarction (CARDIOGRAM15)
PGI_NEBC_SOCGEN16,PGI Number of Children Ever Born (SOCGEN16)
PGI_NEUROTICISM_SSGAC16,PGI Neuroticism (SSGAC16)
PGI_OCD_IOCDF17,PGI Obsessive-Compulsive Disorder (IOCDF17)
PGI_PTSDC_PGC18,PGI Post-Traumatic Stress Disorder (PGC18)
PGI_SC_GSCAN19,PGI Smoking Cessation (GSCAN19)
PGI_SCZ_PGC14,PGI Schizophrenia (PGC14)
PGI_SI_GSCAN19,PGI Smoking initiation (GSCAN19)
PGI_TC_GLGC13,PGI Total Cholesterol (GLGC13)
PGI_TG_GLGC13,PGI Triglycerides (GLGC13)
PGI_T2DALL_DIAGRAM24,PGI Type 2 Diabetes (DIAGRAM24)
PGI_WC_GIANT15,PGI Waist Circumference (GIANT15)
PGI_WELLBEING_SSGAC16,PGI Wellbeing (SSGAC16)
PGI_WHR_GIANT15,PGI Waist-to-Hip Ratio (GIANT15)
